ward,urb,vehicles_owend,pop_by_veh,avarage_age,average_annual_salary,no_of_sta,pop_by_no_of_sta,population,ave_resid_price_yenm2,area_km2,pop_den_km2,ave_mo_park,ave_com_time_min_ow,com_dis_area_km
cent_urb,1,26887,2.278759252,42.73426116,9445294,26,2356.5,61269,2618600,11.66,5254.631218,44519,22.2,3
cent_urb,1,35269,4.446482747,42.2870855,6345647,23,6818.391304,156823,1195700,10.21,15359.74535,44804,27.2,3
cent_urb,1,68353,3.71072228,42.85148851,11157550,32,7926.21875,253639,1781100,20.37,12451.59548,44728,29.1,3
cent_urb,1,47921,7.142943595,43.85110614,5185806,31,11041.83871,342297,709300,18.22,18786.88255,35328,34.3,7
cent_urb,1,29868,7.279329048,43.34749443,6102720,15,14494.6,217419,867500,11.29,19257.66165,34243,33.4,7
east,1,29115,6.736527563,46.14977116,4169282,17,11537.29412,196134,806300,10.11,19400,36442,31.8,7
east,1,41490,6.481031574,45.17546062,3713652,15,17926.53333,268898,393500,13.77,19527.81409,28523,35.3,7
east,1,81660,6.284557923,44.03739302,4234898,29,17696.44828,513197,430700,40.16,12778.80976,28869,38,7
west,1,60266,6.431852122,44.24811674,4629208,28,13843.64286,387622,758900,22.84,16971.19089,31937,35.7,7
west,1,51463,5.378310631,43.94168158,6021560,9,30753.77778,276784,876100,14.67,18867.34833,31533,38.8,7
west,1,131729,5.491129516,44.81231147,4226801,42,17222.40476,723341,501700,60.75,11906.84774,25402,39.3,15
west,1,186476,4.826932152,44.56734765,5449547,40,22502.675,900107,589300,58.05,15505.71921,26147,47.5,15
cent_urb,1,48451,4.637262389,44.92181387,8011136,18,12482.22222,224680,1142100,15.11,14869.62277,39672,34.2,7
west,1,44179,7.439801716,44.62107883,4129672,13,25283.30769,328683,544400,15.59,21082.93778,26284,42.2,15
west,1,94075,6.000414563,44.94275567,4651942,19,29709.94737,564489,500000,34.06,16573.37052,22493,46.9,15
cent_urb,1,39014,7.359178756,43.72425714,4290090,26,11042.73077,287111,548000,13.01,22068.48578,30320,38.6,15
west,1,48677,7.149783265,46.26407399,3684200,20,17401.5,348030,458700,20.61,16886.46288,25176,42.5,15
east,1,30248,7.096138588,44.98777306,3620570,24,8943.5,214644,429600,10.16,21126.37795,25450,40.6,15
west,1,98670,5.692844836,45.03338731,3608186,20,28085.65,561713,391800,32.22,17433.67474,22479,45.8,15
west,1,155467,4.685746814,44.33208585,4145960,20,36423.95,728479,369400,48.08,15151.39351,18790,50.4,15
east,1,167048,4.103293664,45.60198028,3389533,25,27417.88,685447,283600,53.25,12872.24413,18164,46.1,15
east,1,98786,4.660812261,45.69133773,3434163,13,35417.15385,460423,301300,34.8,13230.54598,18090,47.1,15
east,1,152556,4.558103254,42.9798756,3578159,12,57947.16667,695366,332000,49.9,13935.19038,18308,44,15
city1,0,207616,2.712594405,45.19268995,3526453,23,24486,563178,115800,186.38,3021.665415,13648,46.2,40
city1,0,60228,3.032775453,45.7478616,3671635,13,14050.61538,182658,240800,24.36,7498.275862,18753,47.3,30
city1,0,27186,5.330022806,44.2099278,5245957,3,48300.66667,144902,532600,10.98,13196.90346,23608,51.5,15
city1,0,41410,4.500724463,43.79545936,4398487,4,46593.75,186375,394100,16.42,11350.48721,20044,51.1,15
city1,0,64324,2.102605559,47.59275881,3133632,13,10403.69231,135248,96200,103.31,1309.147227,10625,29,40
city1,0,68723,3.763718115,43.2723717,3834200,15,17243.6,258654,285200,29.43,8788.786952,15525,50.4,30
city1,0,39152,2.892419289,45.50231653,3312311,6,18874,113244,182400,17.34,6530.795848,12447,39.4,30
city1,0,53323,4.359713444,43.70713687,4145549,10,23247.3,232473,325900,21.58,10772.61353,18090,52.5,15
city1,0,148864,2.880091896,45.59411127,3895971,10,42874.2,428742,156000,71.8,5971.337047,14646,58,30
city1,0,26726,4.500037417,43.41452253,4266495,4,30067,120268,318500,11.3,10643.18584,13435,54.8,30
city1,0,53382,3.583754824,43.88342459,3830027,8,23913.5,191308,225300,20.51,9327.547538,13514,52.9,30
city1,0,57117,3.233135494,44.34407957,3645738,11,16787.90909,184667,188000,27.55,6702.976407,12385,47.3,30
city1,0,46058,3.278865778,46.07241123,3475724,9,16779.77778,151018,184500,17.14,8810.851809,12482,50.8,30
city1,0,30236,4.024110332,43.8523153,4239678,4,30418.25,121673,279900,11.46,10617.19023,13885,54.7,30
city,0,19497,3.883828281,44.70772329,4491064,4,18930.75,75723,328000,8.15,9291.165644,13033,53.4,30
city,0,24788,2.355333226,47.66433998,3082817,5,11676.8,58384,162700,10.16,5746.456693,12020,33,40
city,0,17601,4.646781433,45.22199012,3790929,3,27262.66667,81788,298500,6.39,12799.37402,17380,51.6,15
city,0,31498,2.721379135,45.2634762,3463156,4,21429.5,85718,167700,13.42,6387.33234,10361,41.5,30
city,0,21991,3.40343777,46.79027637,3407101,2,37422.5,74845,183100,10.23,7316.226784,11209,55.9,30
city1,0,34958,3.342010412,46.37504972,3554285,2,58415,116830,211400,12.88,9070.652174,12328,53,30
city,0,33345,2.173909132,44.61060833,3124523,1,72489,72489,121600,15.32,4731.657963,9558,29.4,30
city1,0,44074,3.374415755,46.16224726,3662823,8,18590.5,148724,183900,21.01,7078.724417,15452,54.1,30
city,0,26981,3.332530299,43.07170801,3994526,6,14985.83333,89915,213000,17.97,5003.61714,11357,54.7,30
city,0,24881,2.245488525,44.8761112,3305750,3,18623.33333,55870,139600,9.9,5643.434343,10709,27.9,40
city,0,40613,1.994065939,46.58779712,3172950,6,13497.5,80985,98600,73.47,1102.286648,8730,34.1,40
city1,0,47028,4.27528281,44.87911339,3872137,6,33509.66667,201058,279000,15.75,12765.5873,14193,55.2,30
village,0,19195,1.746913259,46.07558437,3035896,2,16766,33532,93100,16.85,1990.029674,9468,30.7,40
village,0,8772,1.933310534,50.00758241,3011836,1,16959,16959,88600,28.07,604.1681511,3000,30.7,40
village,0,1409,1.592618879,58.78791308,2600104,1,2244,2244,7100,105.41,21.28830282,3000,30.7,40
village,0,2787,1.877646215,58.85646024,2698610,6,872.1666667,5233,7100,225.53,23.20312154,3000,30.7,40
village,0,4498,1.751889729,51.13647894,3007297,1,7880,7880,9800,90.76,86.82238872,3000,30.7,40
village,0,111,2.891891892,45.65727003,3070016,1,321,321,7100,4.12,77.91262136,3000,30.7,40
village,0,1419,1.919661734,53.01036741,2939337,1,2724,2724,6700,27.54,98.91067538,3000,30.7,40
village,0,713,2.656381487,47.75277631,3111564,1,1894,1894,7100,18.58,101.9375673,3000,30.7,40
village,0,1618,1.568603214,54.06325544,3192291,1,2538,2538,9000,55.26,45.92833876,3000,30.7,40
village,0,90,3.6,40.61940299,3159207,1,324,324,7100,20.54,15.77409932,3000,30.7,40
village,0,4437,1.703853955,52.11599367,2914832,1,7560,7560,9100,72.23,104.6656514,3000,30.7,40
village,0,78,2.128205128,43.8988764,3513588,1,166,166,7100,5.96,27.85234899,3000,30.7,40
village,0,982,2.689409369,40.93925852,3985706,1,2641,2641,40800,104.35,25.30905606,3000,30.7,40
